uwbid,uwbidnum,Wahlberech,kreisid,xcentroid,ycentroid
01404,1404,712,0104,1483898.4848434243,6896885.7036745893
01405,1405,811,0104,1483866.3453107034,6896396.3972142870
01406,1406,887,0104,1484235.6346986569,6896857.6075698612
01407,1407,1224,0104,1484149.1505836435,6896326.8629098292
01408,1408,996,0104,1484478.1207799525,6896695.0436596917
01409,1409,969,0104,1484805.7960013691,6896807.7775921542
01410,1410,1272,0104,1484579.5038463559,6896209.0540332552
01411,1411,1063,0104,1485024.4712122227,6896112.5576994764
01412,1412,899,0104,1485075.9157887180,6896579.4366380954
01413,1413,864,0104,1485256.4128452607,6896546.0314054172
01414,1414,866,0104,1486246.6076923597,6897797.3641359750
01415,1415,879,0104,1485763.4148219100,6897299.5301112728
01416,1416,1071,0104,1485691.1021354515,6896959.1428746432
01417,1417,1165,0104,1485498.5180844648,6896360.3405721346
01418,1418,1146,0104,1485899.2856744307,6896196.6001885664
01419,1419,1316,0104,1486169.9377076621,6897191.0927164154
01420,1420,969,0104,1486095.1896980999,6896726.6103652352
01421,1421,803,0104,1486298.0655561555,6896391.9379700720
01422,1422,984,0104,1486690.7669845182,6897141.0183094945
01423,1423,872,0104,1486954.9688696107,6896395.8409093069
01424,1424,1239,0104,1485418.3335775328,6898868.7104360927
01425,1425,1314,0104,1485816.4554983354,6899598.4266899815
01426,1426,1276,0104,1486346.2085946114,6899959.1960093072
01427,1427,891,0104,1486485.9456568921,6899307.3387805372
01428,1428,826,0104,1486904.9135626028,6899140.1378422081
01500,1500,1021,0105,1483039.5644792495,6900563.7077591065
01501,1501,815,0105,1484210.2499849827,6901299.0200590566
01502,1502,555,0105,1484195.9418041208,6901795.7260966524
01503,1503,1081,0105,1484544.5959674709,6902466.0897086225
01504,1504,692,0105,1484445.5592220484,6901833.3602001928
01505,1505,967,0105,1484753.6048348295,6901265.9512949325
01506,1506,998,0105,1484944.2634695482,6902251.6337431455
01507,1507,1496,0105,1485357.4959433011,6901990.3100211518
01508,1508,1193,0105,1486080.8132478623,6901952.4434518674
01509,1509,1142,0105,1486781.5042822892,6902052.2122879559
01510,1510,1071,0105,1486660.8606408059,6901482.1571040191
01511,1511,1141,0105,1487477.1470194801,6901653.0192696182
01512,1512,1063,0105,1488603.4215424198,6901747.8146607149
01513,1513,1344,0105,1485524.5812485532,6901317.0351947993
01514,1514,1022,0105,1485246.1606096881,6901008.9871494994
01515,1515,1320,0105,1484937.4991011494,6900605.3225859068
01516,1516,987,0105,1485473.1498226053,6900613.2110107951
01517,1517,1371,0105,1486391.4652616864,6900855.3518574657
01518,1518,1278,0105,1486915.0910777834,6900537.7230775747
01519,1519,1332,0105,1487002.3108064595,6900300.3882705364
01520,1520,1410,0105,1487626.0757895985,6900958.3264874322
01521,1521,1296,0105,1488200.1207080155,6901096.1756726867
01522,1522,930,0105,1484831.5580447817,6899493.1373519683
01523,1523,676,0105,1485186.6401525729,6900069.0587643869
01524,1524,867,0105,1485566.5647487123,6900287.9144029692
01525,1525,858,0105,1485720.8035010095,6899971.9955198094
01526,1526,1488,0105,1486008.2635482568,6900252.7290149638
01600,1600,1486,0106,1489653.2555170222,6902643.0675868951
01601,1601,811,0106,1490367.3499320713,6902786.9239410944
01602,1602,1042,0106,1490584.0634808927,6902933.1609238740
01603,1603,987,0106,1489743.6852574251,6902163.6849284079
01604,1604,851,0106,1490161.8523385178,6902188.8395326901
01605,1605,1104,0106,1490643.1756973816,6902151.9882861450
01606,1606,866,0106,1491069.7178218903,6902123.3984377868
01607,1607,837,0106,1489530.5366555685,6901673.7317911927
01608,1608,1022,0106,1489991.5654227361,6901495.7448599981
01609,1609,1111,0106,1490485.8550870901,6901544.7772361441
01610,1610,1131,0106,1491049.0365458385,6901396.7231815122
01611,1611,1372,0106,1488848.0585325942,6901141.4295248641
01612,1612,942,0106,1489483.8230610832,6901036.4868279332
01613,1613,1452,0106,1490348.9795334428,6901020.3829992786
01614,1614,1074,0106,1491045.5961384673,6900686.6052261228
01615,1615,920,0106,1488687.0309728717,6900683.0054966286
01616,1616,1121,0106,1489142.2739703397,6900465.2144344645
01617,1617,1054,0106,1489713.9493812742,6900228.9088593218
01618,1618,1438,0106,1490025.0343953080,6900592.1583058611
01619,1619,1229,0106,1490497.9616510088,6900483.5372017352
01620,1620,971,0106,1487730.5700514046,6900405.6961575989
01621,1621,991,0106,1487995.9833202683,6900120.8918158934
01622,1622,678,0106,1488256.7704426332,6900468.1752656875
01623,1623,776,0106,1488574.5226080965,6900106.3143381774
01624,1624,1286,0106,1489290.1743786607,6899764.5585652320
01625,1625,1024,0106,1488542.4262479588,6899582.8273955807
01700,1700,801,0107,1487149.8928444830,6899775.3865645882
01701,1701,1305,0107,1487364.7448796532,6900125.7680198681
01702,1702,1062,0107,1487966.0434225202,6899783.8989357240
01703,1703,817,0107,1487682.1036043463,6899525.2321611913
01704,1704,841,0107,1485886.9446868114,6898308.9377557449
01705,1705,966,0107,1486151.8572557333,6898471.4771533106
01706,1706,1232,0107,1486408.8825912874,6898577.8486121381
01707,1707,1224,0107,1486732.1917752936,6898701.7732822141
01708,1708,1127,0107,1487272.3928490051,6898974.7236400666
01709,1709,1104,0107,1487336.3391662864,6898695.3275374146
01710,1710,1297,0107,1488164.7950697874,6899035.7168639535
01711,1711,1064,0107,1487773.8748419050,6898204.7051124377
01712,1712,1218,0107,1489005.9735138691,6899106.6992024900
01713,1713,912,0107,1488928.0109015065,6898630.5079120323
01714,1714,1095,0107,1488796.6115996812,6898352.0569490949
01715,1715,1210,0107,1489734.1263815258,6898309.3074762020
01716,1716,905,0107,1490159.3439243687,6899140.0588658527
01717,1717,1157,0107,1490202.5248608920,6898114.8190205907
01718,1718,854,0107,1490634.5307619651,6899824.2365127178
01719,1719,977,0107,1491050.2376227283,6898917.5760260783
01720,1720,1196,0107,1490782.2410209712,6898125.2343049087
01721,1721,1001,0107,1491304.0717944358,6899928.0629582107
01722,1722,1061,0107,1491101.8991950082,6899407.6016595596
01723,1723,1055,0107,1491424.6390886465,6899179.3955221968
01724,1724,897,0107,1491714.1088925626,6898741.6057418976
01725,1725,1059,0107,1491281.1489911971,6898377.6483376753
01203,1203,1100,0102,1491123.0500375596,6892921.4506380120
01204,1204,1695,0102,1491495.2005014531,6892773.0888217967
02101,2101,1038,0201,1488924.4380544815,6890511.0055522947
02102,2102,1762,0201,1489642.5979772867,6890149.4951637229
02103,2103,1725,0201,1489878.5443193198,6889604.5900922343
02104,2104,1586,0201,1489439.9945807082,6889317.1556757744
02105,2105,1759,0201,1488912.1808941215,6888650.5435063522
02106,2106,1817,0201,1489610.2369303477,6888731.1820828356
02107,2107,1498,0201,1490596.1170268974,6890154.2054361338
02108,2108,1801,0201,1490590.5412138957,6889499.8991229404
02109,2109,1511,0201,1491112.7139981026,6889257.9378536753
02110,2110,1434,0201,1490433.0155264046,6888902.2532668803
02111,2111,1587,0201,1490984.5642147046,6888917.4604405593
02112,2112,1773,0201,1490680.0972119528,6888583.8098200317
02113,2113,1501,0201,1491866.6003837129,6888614.1835914664
02114,2114,1095,0201,1492204.0246039047,6889513.7066388642
02115,2115,1297,0201,1492733.1732082623,6889446.1955162426
02116,2116,1735,0201,1493047.4011751486,6889189.3145570746
02117,2117,1519,0201,1493717.6886879459,6888966.9725613408
02118,2118,1491,0201,1494169.6410170360,6889165.6273601959
02119,2119,1590,0201,1493554.1668869210,6889516.4568214165
02120,2120,1828,0201,1493759.2169361375,6889857.3143116422
02121,2121,1633,0201,1492555.6025950315,6890092.0530935023
02122,2122,1418,0201,1492656.4940926214,6890537.3663822040
02201,2201,1058,0202,1493626.1401981129,6890225.6496901652
02202,2202,1334,0202,1493725.2514353930,6890671.2410512948
02203,2203,1153,0202,1494245.4856525864,6890600.0989198303
02204,2204,886,0202,1494783.5320817006,6890692.7429178720
02205,2205,1346,0202,1494591.3230664209,6890209.5898040729
02206,2206,1380,0202,1495134.9876899710,6890270.9407010041
02207,2207,1341,0202,1495413.4581415339,6889941.2546113562
02208,2208,1103,0202,1495870.6400670321,6889585.3737981142
02209,2209,1172,0202,1496087.2859412958,6889917.7245321581
02210,2210,1172,0202,1495830.7616634001,6890525.8631345425
02211,2211,1160,0202,1496105.4513362574,6890695.6785047008
02212,2212,1235,0202,1496512.0329926803,6890442.9013888231
02213,2213,1065,0202,1496390.9093527503,6890970.2529580183
02214,2214,1407,0202,1496990.3095109374,6890633.6627540877
02215,2215,1597,0202,1497608.4514507214,6891229.7961065806
02216,2216,1342,0202,1497729.9069023011,6892308.1142190397
02217,2217,1479,0202,1498386.4799370496,6892387.6049784170
02218,2218,1756,0202,1498933.7397235872,6892270.7277867179
02219,2219,979,0202,1499294.4557676488,6892520.8611228531
02220,2220,1543,0202,1499442.8475274593,6892811.3053456582
02221,2221,1495,0202,1499842.9875207134,6892767.8121391330
02222,2222,1360,0202,1498978.1902584543,6891894.0220092544
02223,2223,1716,0202,1498434.3123997119,6891246.3885174338
02224,2224,1431,0202,1498993.7042400199,6890959.7773211002
02225,2225,1348,0202,1499398.4392613899,6890381.0503735393
02226,2226,1314,0202,1500320.8692774796,6889598.6462206244
02301,2301,1155,0203,1489355.7634925591,6891669.8038337706
02302,2302,1563,0203,1490081.9629823896,6891878.1493839268
02303,2303,560,0203,1489978.4002066366,6891224.7914462863
02304,2304,1406,0203,1490432.3192380660,6890748.7217656691
02305,2305,1320,0203,1490767.8073449132,6891096.7166044135
02306,2306,1372,0203,1490840.1219072680,6892013.8905394711
02307,2307,1621,0203,1491854.0446637929,6892187.9129651040
02308,2308,1062,0203,1491465.7821855827,6891517.7254593056
02309,2309,1371,0203,1491815.4239497720,6891126.3155076280
02310,2310,1304,0203,1491562.1237064989,6890333.5797757972
02311,2311,1200,0203,1491233.9304691239,6889889.2434116714
02312,2312,1673,0203,1491612.9074077988,6889710.3988813087
02313,2313,1239,0203,1492376.4788440601,6891090.4239294352
02314,2314,1469,0203,1492470.0222105188,6891881.2684376659
02315,2315,1464,0203,1493114.5777165287,6891621.4574317243
02316,2316,1188,0203,1492728.5269456110,6891000.4113089638
02317,2317,900,0203,1493197.4524305260,6890958.6690600626
02318,2318,1221,0203,1493845.8439710983,6891076.0164617915
02319,2319,1246,0203,1494128.0955457054,6891244.8732382124
02320,2320,1536,0203,1494125.6426727967,6891706.6595922969
02321,2321,1445,0203,1494680.5194575009,6891363.0973068960
02322,2322,1343,0203,1495120.4822308559,6891138.6158059100
02323,2323,1347,0203,1495894.4401723349,6891434.5709975762
02324,2324,1258,0203,1495231.5333959844,6891692.4336319380
02325,2325,1021,0203,1495031.2696517408,6892040.9263827773
02401,2401,1190,0204,1495897.1929689918,6895912.0704574613
02402,2402,1133,0204,1494365.1808547103,6895867.3517053481
02403,2403,1338,0204,1494570.7556051202,6895603.1163523113
02404,2404,1568,0204,1494897.0777875364,6895313.6503265277
02405,2405,1447,0204,1495274.7343412081,6895016.2850701958
02406,2406,828,0204,1495871.1971597415,6895124.5406690454
02407,2407,953,0204,1496411.5432010586,6894970.3447568379
02408,2408,1397,0204,1497234.1139925395,6895773.9138978356
02409,2409,1019,0204,1497437.2027569017,6895359.1056760317
02410,2410,1314,0204,1497131.2263150357,6895300.4997158507
02411,2411,1354,0204,1497074.4962454869,6894949.7792866183
02412,2412,1361,0204,1497384.0643558812,6894345.7472980488
02413,2413,1631,0204,1496829.1040229229,6894507.0853453381
02414,2414,1453,0204,1496369.3996805423,6894297.9201548900
02415,2415,1894,0204,1495336.7156110785,6894591.1335876603
02416,2416,1545,0204,1494912.6231112133,6894105.4251320502
02417,2417,1706,0204,1495395.3872040692,6894094.4019913301
02418,2418,1148,0204,1495924.7457432242,6893924.7063264456
02419,2419,1679,0204,1496589.3868481526,6893899.1191954240
02420,2420,1438,0204,1497307.8501042693,6893661.6574199591
02421,2421,1290,0204,1497070.7801132174,6893244.6630548183
02422,2422,1486,0204,1496609.5096780804,6893551.2866327446
02423,2423,945,0204,1496421.1333112014,6892401.6991136465
02424,2424,1245,0204,1495507.3600523614,6892923.2559781512
02425,2425,1711,0204,1495172.9073190261,6893604.1089619892
02426,2426,887,0204,1494721.7579538007,6893311.8505062619
02501,2501,1649,0205,1497632.9710926709,6895543.4855202176
02502,2502,1792,0205,1497568.4999611792,6894926.4186510993
02503,2503,1000,0205,1498120.4179191883,6894691.5864689769
02504,2504,1563,0205,1498164.1904347106,6894416.6985554434
02505,2505,1559,0205,1498025.5104831411,6894098.9662912469
02506,2506,1830,0205,1498679.9457770474,6894028.9608576279
02507,2507,1581,0205,1498808.7460438618,6894441.6680030953
02508,2508,1812,0205,1499277.3452096228,6894541.8737380132
02509,2509,1479,0205,1499167.6608408163,6894238.6165307201
02510,2510,1987,0205,1499768.8656599594,6894173.7953091078
02511,2511,1236,0205,1499383.9697062783,6893775.0893876487
02512,2512,1316,0205,1499808.1823237077,6893414.8779080994
02513,2513,1336,0205,1499472.2112442227,6893230.3359862268
02514,2514,1481,0205,1499132.9474493549,6893396.6078959443
02515,2515,1514,0205,1498799.6207930443,6893438.6725812098
02516,2516,1292,0205,1498440.2056232353,6893543.4092483530
02517,2517,1281,0205,1497983.3748037082,6893691.5381143056
02518,2518,979,0205,1498890.4209822943,6892961.8545139348
02519,2519,1434,0205,1498713.3362015053,6892687.3354738150
02520,2520,1700,0205,1498398.1720317218,6893022.5975784799
02521,2521,1528,0205,1497918.1290455689,6893318.2378449403
02522,2522,1443,0205,1497797.6195209138,6893057.0947460951
02523,2523,961,0205,1497550.5037430816,6892784.5404699976
02524,2524,1341,0205,1497185.4274057725,6892837.4693860458
03101,3101,2072,0301,1499592.2743296269,6917938.8369209860
03102,3102,1823,0301,1503865.8357190439,6916707.1494446788
03103,3103,1465,0301,1503669.6230390922,6915198.1467020335
03104,3104,1489,0301,1502714.8794743589,6915083.6107442137
03105,3105,1103,0301,1502092.4353862868,6915368.8868378336
03106,3106,1422,0301,1501794.4389970854,6914487.9535953905
03107,3107,903,0301,1502004.5387149819,6914221.1297193738
03108,3108,1423,0301,1502920.5713343248,6913891.2086220616
03109,3109,1562,0301,1502333.9315378596,6912676.0416736733
03110,3110,1557,0301,1502002.6132047714,6911995.5058031762
03111,3111,1245,0301,1502147.1445489549,6911331.1958349487
03112,3112,1343,0301,1501351.1017845883,6910864.5038826056
03113,3113,1539,0301,1500394.1986623986,6909799.1015039021
03114,3114,1354,0301,1499590.5786335694,6910645.4533603834
03115,3115,1543,0301,1500367.2454224913,6912306.5683410205
03116,3116,1614,0301,1500978.8259447021,6913113.9953863584
03117,3117,1535,0301,1501147.5255909113,6913530.8527675206
03118,3118,1515,0301,1499049.1607817754,6912172.8447283003
03119,3119,1853,0301,1496977.8956019459,6913105.4483709857
03120,3120,1800,0301,1495923.6181165271,6909346.7367938580
03121,3121,1866,0301,1494968.2032319237,6908629.2572681075
03122,3122,1570,0301,1494279.8059824358,6911231.0704934690
03123,3123,1508,0301,1494626.7249009798,6912023.7051452696
03201,3201,651,0302,1490518.8009650426,6915152.8989382926
03202,3202,844,0302,1492138.1363254397,6913459.2903897809
03203,3203,1522,0302,1493719.2225416147,6911217.0406835824
03204,3204,1561,0302,1494366.3499575935,6910464.6304838508
03205,3205,1475,0302,1493367.5813704408,6909877.7762392610
03206,3206,1667,0302,1488930.7979550587,6909145.3975346722
03207,3207,1507,0302,1489472.2305326783,6908157.6720119109
03208,3208,1658,0302,1488255.1447705440,6906992.7663726667
03209,3209,1702,0302,1487416.9306692255,6906686.6090311082
03210,3210,1761,0302,1488500.1634965204,6905847.0765217301
03211,3211,1523,0302,1489632.2944543923,6907305.2351978272
03212,3212,1411,0302,1490890.1560049565,6906993.4851823179
03213,3213,1715,0302,1491512.3496991536,6906336.2061196528
03214,3214,1523,0302,1491536.1198043497,6907475.2922348566
03215,3215,1526,0302,1491192.7500984108,6909079.4129377482
03216,3216,1597,0302,1492135.5118159538,6907153.2964620842
03217,3217,1387,0302,1493266.2552245702,6907745.5050022611
03218,3218,1957,0302,1492634.4401606801,6908394.3982548881
03219,3219,1595,0302,1487338.2936317066,6907452.1165766632
03220,3220,1602,0302,1490183.1141989697,6905284.4487560550
03221,3221,1663,0302,1489783.0303302340,6906376.7567806682
03222,3222,965,0302,1493644.1112225878,6910566.6621500282
03301,3301,1682,0303,1494878.7463500239,6907489.1699735513
03302,3302,1709,0303,1494901.4282329644,6905592.8497884749
03303,3303,1677,0303,1494560.6175470941,6906414.7336457735
03304,3304,1696,0303,1493605.6455110856,6906896.4508743212
03305,3305,1603,0303,1492527.8995362930,6906456.8304690011
03306,3306,1600,0303,1492228.7240406184,6905665.4477965254
03307,3307,1427,0303,1494253.9825659734,6905450.6595176319
03308,3308,1366,0303,1494100.6262367421,6904779.3217095239
03309,3309,1458,0303,1493846.2423536710,6904174.5661577852
03310,3310,1605,0303,1492668.6106411300,6903411.8001740500
03311,3311,1093,0303,1493007.2639701511,6905187.6272781501
03312,3312,1571,0303,1492176.9144614942,6904012.4089154853
03313,3313,1452,0303,1491686.1897113884,6904946.8150018509
03314,3314,1567,0303,1490792.9930088092,6903804.6120415349
03315,3315,1435,0303,1491598.7698686817,6903295.2073123017
03316,3316,1747,0303,1491935.0323968902,6902746.8569052452
03317,3317,1720,0303,1491494.6806530894,6902402.5670148116
03318,3318,1556,0303,1492182.2961507309,6903282.3819162818
03319,3319,1747,0303,1493941.2006623240,6906246.9439514950
03320,3320,1553,0303,1491811.0171455091,6904364.3955240650
03321,3321,1590,0303,1493345.1246620801,6904850.9426108887
03401,3401,1847,0304,1496005.1743062658,6901668.7950561782
03402,3402,1754,0304,1496895.7184307401,6902284.8086194387
03403,3403,1973,0304,1497849.2324618206,6901085.7594219353
03404,3404,1501,0304,1498574.5669921678,6900873.9266006351
03405,3405,1613,0304,1498705.9400535419,6901743.1107415501
03406,3406,1759,0304,1499586.2677595171,6900328.8695152719
03407,3407,1674,0304,1501221.5531564278,6900729.1242939960
03408,3408,1847,0304,1499957.0693801281,6900925.2815771382
03409,3409,1330,0304,1500863.7119302158,6901693.4438627269
03410,3410,1370,0304,1499381.5301952821,6901488.2782464698
03411,3411,1735,0304,1499944.8701538022,6903629.6968582207
03412,3412,1584,0304,1498298.7823202664,6903578.5280325366
03413,3413,1524,0304,1499458.7804779164,6907214.5456415936
03414,3414,2162,0304,1498682.6490006661,6908551.0790207973
03415,3415,1239,0304,1497657.9363792874,6910034.4092697259
03416,3416,1741,0304,1497255.6646145168,6901554.0308338869
03417,3417,1759,0304,1499883.3880873024,6901440.2487581437
03418,3418,1013,0304,1497034.8623596500,6907883.9360937122
03501,3501,1719,0305,1492084.9788696589,6901934.3910318734
03502,3502,1288,0305,1492724.8842426999,6902571.8094932232
03503,3503,1603,0305,1492820.8316134308,6901900.5205407897
03504,3504,1420,0305,1493539.7088108195,6901268.2381877452
03505,3505,1299,0305,1494235.3548237442,6900979.0262684021
03506,3506,1461,0305,1494732.1363198056,6900933.8170896107
03507,3507,1582,0305,1494564.4775487822,6901818.2355651278
03508,3508,1508,0305,1493872.2253019358,6901587.0731114401
03509,3509,1781,0305,1493974.7353430109,6902317.9121391969
03510,3510,1469,0305,1493403.5296883299,6902257.4684237856
03511,3511,1632,0305,1493658.1146804858,6902875.2223604023
03512,3512,1594,0305,1494428.9936306169,6902980.6532783685
03513,3513,1709,0305,1494034.8478820822,6903547.2893532543
03514,3514,1579,0305,1494634.7751462641,6904000.4645683793
03515,3515,1198,0305,1495542.6899736957,6902824.7449010042
03516,3516,1824,0305,1496259.4017288787,6903663.6766069327
03517,3517,1229,0305,1496452.5166123221,6904699.5986117925
03518,3518,1471,0305,1493522.2344419025,6903221.1636069557
03519,3519,1340,0305,1493608.6945018540,6901854.1488129627
03520,3520,1451,0305,1493788.0820419563,6901102.9534861390
03600,3600,1535,0306,1491849.7806985162,6901185.5070756851
03601,3601,1491,0306,1492905.2223940452,6901249.7754331818
03602,3602,1591,0306,1493068.9162237775,6900612.1767756650
03603,3603,1243,0306,1492533.6381765315,6900605.0638299128
03604,3604,1418,0306,1492319.8629260659,6900836.3611007454
03605,3605,1467,0306,1491867.5705131819,6900337.5071566831
03606,3606,1639,0306,1492643.0633275027,6900227.0763638662
03607,3607,1612,0306,1492266.5479586644,6899947.4574594609
03608,3608,1618,0306,1492357.8591692096,6899791.0450562052
03609,3609,1602,0306,1492433.8236376764,6899535.9144569859
03610,3610,1645,0306,1493180.4133827470,6899771.6727026608
03611,3611,1548,0306,1492486.3253555896,6899060.2804286126
03612,3612,1513,0306,1493546.9552974822,6899604.2270207256
03613,3613,1488,0306,1493255.1642271518,6898852.3807857614
03614,3614,1761,0306,1493885.9866776904,6899418.9803400999
03615,3615,953,0306,1493522.5206016419,6898687.6081296839
03616,3616,815,0306,1493855.2965413628,6899188.8254094040
03617,3617,1561,0306,1493843.7842541754,6898826.7048440799
03618,3618,1676,0306,1494130.6753332370,6898461.8725384856
03619,3619,1454,0306,1494220.9031068897,6898832.4846201139
03620,3620,1722,0306,1494453.2221582495,6899051.1503861202
03701,3701,1556,0307,1495133.0684477072,6901152.0999188079
03702,3702,1456,0307,1495499.4228826312,6901067.3667295342
03703,3703,1644,0307,1496120.8463740228,6900615.9255796624
03704,3704,1327,0307,1496649.8894722795,6900496.6384209078
03705,3705,1624,0307,1497537.0368749721,6900247.0977641298
03706,3706,1652,0307,1496259.6269463229,6899855.9288265808
03707,3707,1911,0307,1496114.3416239324,6899223.4444546523
03708,3708,1619,0307,1495896.1173332820,6898831.6680818340
03709,3709,1658,0307,1495291.4791255635,6899150.2745869309
03710,3710,1833,0307,1495681.2957240387,6899669.7148977751
03711,3711,1567,0307,1495161.0747007907,6899939.8359866170
03712,3712,1526,0307,1494795.0823776263,6900251.8673707750
03713,3713,1519,0307,1494629.2532958889,6899531.1871597022
03714,3714,1308,0307,1493845.7507579040,6900240.7107274653
03715,3715,1653,0307,1494283.3663830140,6900475.5277369590
03716,3716,1523,0307,1493567.2225512972,6900688.1540269665
03717,3717,1336,0307,1493439.3783374326,6900307.3990861634
03718,3718,1102,0307,1495622.9154577043,6900703.6417858787
03719,3719,1412,0307,1497013.0991287609,6900075.3266698411
03720,3720,1449,0307,1494335.8660068105,6899898.7293906342
03801,3801,1968,0308,1495163.0139406982,6898408.8586616134
03802,3802,1548,0308,1495020.1733448247,6897630.1546209687
03803,3803,1411,0308,1494578.3550560160,6898103.5505204238
03804,3804,1426,0308,1494437.5804377468,6897640.2721724631
03805,3805,1804,0308,1494736.7727931896,6897181.3411902171
03806,3806,1668,0308,1494234.3898819361,6897198.3858739259
03807,3807,1494,0308,1494339.5085133540,6896772.1317153499
03808,3808,1731,0308,1493968.6531790248,6896275.7267236225
03809,3809,1612,0308,1493915.4577340102,6898160.3552733799
03810,3810,1472,0308,1493918.9537130594,6897825.1036668550
