uwbid,uwbidnum,Wahlberech,kreisid,xcentroid,ycentroid
01100,1100,1246,0101,1487801.6951459560,6896750.1897035250
01101,1101,1461,0101,1488784.5267450304,6897357.6708424604
01102,1102,1301,0101,1488983.2714950398,6895973.8367846292
01103,1103,1316,0101,1489679.6688877598,6897452.7811315963
01104,1104,1248,0101,1490264.7201681498,6896595.3454885939
01105,1105,1062,0101,1490389.8956929485,6896240.4398672283
01106,1106,1369,0101,1489754.0238553816,6895663.9030698910
01107,1107,1119,0101,1490651.5206872763,6895917.3968524951
01108,1108,1014,0101,1490546.7675482209,6894744.0436751395
01109,1109,1133,0101,1490351.2579626366,6897524.4606076274
01110,1110,1586,0101,1490825.6677906315,6897189.9783976860
01111,1111,1018,0101,1490882.8376185624,6896420.9571255269
01112,1112,1191,0101,1491202.3472036086,6895957.1679104557
01113,1113,1182,0101,1491277.2171744406,6897499.4074194031
01114,1114,1476,0101,1491398.4615698671,6896690.5274807345
01115,1115,866,0101,1491808.0779448117,6896194.6304925093
01116,1116,695,0101,1491723.5337552996,6895967.5993644083
01117,1117,1481,0101,1491612.8784131713,6897867.0060282610
01118,1118,1144,0101,1492050.6559944847,6898132.7597724618
01119,1119,901,0101,1491985.1944745670,6897620.7486933377
01120,1120,1106,0101,1492307.6686397423,6897487.9790854780
01121,1121,1086,0101,1492069.6882811398,6897267.1620159391
01122,1122,1208,0101,1491788.0628641217,6897041.4707429726
01123,1123,1012,0101,1492153.6748520066,6896729.1018473608
01200,1200,910,0102,1489478.7602883826,6893085.6748248450
01201,1201,1088,0102,1490255.7086767566,6893356.7093057772
01202,1202,1097,0102,1491265.0296793792,6893627.4776291633
01205,1205,1215,0102,1492056.6635397295,6893758.2302780785
01206,1206,1356,0102,1492800.3600074353,6894353.7758529140
01207,1207,1152,0102,1492174.9414048074,6894996.3093320960
01208,1208,894,0102,1491561.1020317557,6895410.4182283999
01209,1209,1240,0102,1492259.9588797756,6895679.8903930718
01210,1210,1150,0102,1492296.4517082188,6896261.6228037439
01211,1211,882,0102,1493011.0340988690,6895995.6901220493
01212,1212,866,0102,1492656.8906315493,6895707.3278188892
01213,1213,645,0102,1492838.6726071502,6895458.2607316701
01214,1214,796,0102,1493360.3886710990,6895374.7897901926
01215,1215,1042,0102,1493985.9272917428,6895198.5535383774
01216,1216,956,0102,1494535.4646211136,6894926.7020301940
01217,1217,1116,0102,1493671.8141287651,6894659.1258674730
01218,1218,1566,0102,1494334.3045700493,6894282.5074218689
01219,1219,350,0102,1493860.1208423683,6894323.2206786862
01220,1220,820,0102,1494015.3684731284,6893912.3920802567
01221,1221,1423,0102,1493302.3365064531,6893323.7095917799
01222,1222,897,0102,1492611.1474937994,6893539.5784456478
01223,1223,1452,0102,1492832.9813414903,6892559.4942858443
01224,1224,834,0102,1493299.7000635397,6892909.5154193090
01225,1225,1299,0102,1493512.6976994288,6892563.3229831392
01226,1226,780,0102,1493750.5231541304,6892765.1232521040
01227,1227,1319,0102,1494421.6073804304,6892634.8923028288
01228,1228,2279,0102,1493732.6532090020,6892144.0390356565
01300,1300,1304,0103,1482777.0273994643,6895759.5229119593
01301,1301,890,0103,1483577.1864205559,6895672.3798274519
01302,1302,1175,0103,1484272.7832774436,6895828.4765395951
01303,1303,923,0103,1484125.6325523504,6895590.3450744189
01304,1304,934,0103,1484123.2730610981,6895183.9447732661
01305,1305,1070,0103,1484055.0430965486,6894553.6990296692
01306,1306,1352,0103,1484449.4981399293,6895220.5448031416
01307,1307,1145,0103,1484472.1267791823,6894543.2470605401
01308,1308,1135,0103,1484684.5688102709,6895025.5383184170
01309,1309,1279,0103,1484864.1117138190,6895265.3406442795
01310,1310,913,0103,1485116.1544653960,6895591.8059627740
01311,1311,1046,0103,1485724.5469652552,6895334.4800373977
01312,1312,784,0103,1486226.3539542642,6895528.7099392321
01313,1313,859,0103,1486381.8905194367,6895056.5897818562
01314,1314,1118,0103,1486579.1396757453,6894834.9059670949
01315,1315,830,0103,1486954.5359378227,6895018.1358843297
01316,1316,1230,0103,1487775.9054165678,6895530.6079737982
01317,1317,750,0103,1484693.1830653488,6894138.3198026288
01318,1318,1095,0103,1485312.8260161162,6894765.2664962681
01319,1319,1022,0103,1485942.8114987172,6894308.7151584430
01320,1320,596,0103,1485230.9405450867,6893885.7829187131
01321,1321,1018,0103,1485279.7179321537,6892821.1237007985
01322,1322,1127,0103,1486120.3858540934,6891811.5479865372
01323,1323,1174,0103,1487826.2116132341,6894466.0257276446
01324,1324,1605,0103,1487793.4659067448,6892833.0710679283
01325,1325,1041,0103,1486959.3099723905,6891792.1322857067
01326,1326,1146,0103,1487403.8158197135,6891477.1868613446
01327,1327,1472,0103,1488043.2789744679,6891179.6938297087
01400,1400,1336,0104,1482822.4396842974,6897095.8591970606
01401,1401,927,0104,1483419.3369356701,6896539.5611037295
01402,1402,1298,0104,1483627.6948592244,6896556.8033003435
01403,1403,994,0104,1484478.4056722173,6897764.6119006425
