kreisid,kreisidnum,Wahlberech,Wähler,Gültige S,SPD,CDU,GRÜNE,DIE LINKE,PIRATEN,FDP,AfD,area,perimeter,xcentroid,ycentroid,charea,xmin,xmax,ymin,ymax
0401,401,30018,16938,16185,6576,4760,2117,901,0,1373,0,23551096.27734,29112.55411,1480689.4263596700,6897549.2065879004,30159959.2214588039,1477231.7737080071,1483793.8340187641,6893679.3021295061,6900080.5431141006
0402,402,30234,20940,19938,6789,7436,2601,695,0,1938,0,41877849.91309,42457.09938,1475795.4294367179,6893461.3042460680,57781983.0012419224,1470396.0814815045,1480567.1954560874,6889012.5327354548,6896790.7952372031
0403,403,30291,19458,18835,6986,4362,4747,801,0,1394,0,7126426.48242,18515.19005,1479915.3571238548,6892753.6459860345,10654164.4723214265,1477936.8408148042,1481963.1561569257,6890826.4949523089,6894628.5101849819
0404,404,31405,19289,18840,6976,4737,3823,861,0,1688,0,11546379.17383,22396.09416,1482703.6632507539,6892526.9580112919,16299693.9261594936,1480109.4396705620,1485163.0136983339,6890353.2912412044,6895128.8558040475
0405,405,30814,20508,20033,8113,7749,1706,446,0,1899,0,68713072.70996,46044.70138,1474217.0707602352,6888416.8303064797,82945758.2387433350,1467925.9634412655,1482572.5944661144,6884917.5489494903,6891993.3894399432
0406,406,31831,20783,20172,7711,5806,3630,892,0,1790,0,7886935.94336,13117.73129,1483734.6250024152,6889156.1266721245,8738164.0764853861,1482420.2936609839,1484888.6086793276,6886902.6503350614,6891256.9126328388
0407,407,31781,21666,20957,7703,6964,3193,819,0,1908,0,13637234.40332,16832.79182,1481155.1079294654,6887015.4601726476,15142724.2873368841,1478436.8284391866,1483252.2218077395,6884993.1902013905,6889503.0210548937
0501,501,32708,18382,17577,7043,6348,1111,693,0,1338,0,66916329.80957,40580.13333,1467553.0112304797,6904069.7622295897,80389565.6585935056,1461399.1812214986,1472612.8986422771,6899446.4844266679,6909128.1020384477
0503,503,32212,17884,17142,7208,5786,1172,650,0,1362,0,41920630.81250,36508.12547,1473299.9498704646,6897739.3809015593,56203604.2497051209,1468301.1896433150,1478563.5860018765,6893169.9065880561,6902635.5988484509
0502,502,31206,16506,15683,6125,5631,1271,677,0,960,0,15191435.04785,23489.18038,1468395.5250946884,6898119.8624322377,20668213.4288894236,1465882.6592281081,1471771.8315229409,6895008.2757153586,6900247.0671819886
0505,505,32385,21953,21312,7437,9016,1653,474,0,1820,0,89581077.70313,52436.50443,1464888.3150108482,6887598.3106652088,118482457.2679187655,1459320.4956234875,1471246.3890324021,6880007.2386324937,6895465.2334111454
0504,504,31900,19215,18595,7042,6786,1238,753,0,1507,0,34114820.94336,28863.53553,1463573.1260366698,6897518.0525610205,38224552.4963454753,1460230.9619304358,1467421.4296570970,6894141.7437747903,6901282.1110701868
0204,204,33851,19114,18620,5553,1781,2674,6707,0,743,0,10081516.48340,16971.26045,1495920.1993779803,6894614.5696869418,12932129.8173388597,1493965.3637800198,1497663.6353432364,6892164.3906372823,6896711.1471938519
0205,205,33897,18282,17852,4996,1270,4805,3501,0,690,0,5745831.36328,13302.01963,1498840.8512431888,6893777.5951618562,7821192.3847757122,1497269.0043303040,1500335.9297224234,6892001.1823046235,6896127.8419225561
0202,202,33273,18905,18379,4456,1382,7801,1805,0,775,0,13005659.65332,32169.57887,1496621.3930223528,6890313.9782270584,26845614.0960466452,1491534.2226400680,1501863.5652155967,6888495.9278671714,6892309.7597671431
0203,203,31758,17085,16610,4829,1868,5612,1806,0,638,0,11527156.55176,26566.10835,1494997.5584438995,6891857.2610177565,19822134.2105780318,1491074.0023993838,1499616.7905236413,6890022.7201837022,6893582.4547484173
0309,309,32860,18116,17535,5908,1831,2765,4615,0,712,0,14335710.58496,21673.76011,1497508.2465361026,6897694.8594054710,19383282.2940550633,1494348.5061181176,1499706.2335426961,6894689.0871158326,6900562.9400586989
0308,308,28813,17002,16624,4648,1349,5750,3271,0,695,0,7062466.72266,12489.48562,1493903.6219681825,6897501.7031416576,8493481.9153925963,1492057.4532718495,1495953.4437209389,6895661.7384959329,6899170.0439825961
0307,307,30164,15671,15206,4965,1603,2487,4095,0,733,0,7228147.42383,13533.62691,1495563.5601490138,6900114.0761230532,8779553.1875467114,1493186.0974695268,1498218.2090283190,6898485.4872809434,6901595.7968592094
0306,306,32089,18686,18277,5229,1306,6267,3490,0,572,0,6927923.64258,12286.75572,1492795.2318819996,6899918.8546623932,8417284.7908179741,1491336.3096363104,1494696.5827407169,6898246.8900896367,6901760.2209705533
0305,305,29806,16788,16260,4944,2809,1697,4688,0,780,0,15076870.75195,22807.17643,1495034.2920207200,6903127.2785462746,18719767.2092129439,1491532.7113721385,1498100.3715292141,6900474.8861101335,6905964.9139849637
0304,304,28166,14831,14240,4829,2692,1031,3608,0,957,0,49489140.51270,47599.24584,1499041.8811722640,6905288.2065580143,76489269.9007109702,1495128.0346226986,1503386.7106733394,6899740.5069104703,6911593.8702554312
0303,303,30584,17728,17010,5419,2370,2326,4942,0,850,0,18328643.02148,23545.86543,1493045.0429436851,6905206.2048445847,22415156.2593444362,1489793.1551339284,1495710.9679786232,6901709.2685373826,6908924.4948408995
0302,302,30354,17391,16708,6011,3554,1532,3411,0,1246,0,68206253.11719,51430.98016,1491236.9297011634,6911157.9840402501,89215808.1366130412,1485843.9346730502,1496274.1039672296,6904223.1012789384,6918209.6433516610
0301,301,31544,17187,16564,5640,3237,1096,4354,0,1033,0,92328630.98730,65386.55848,1499327.6351336357,6914644.8748041112,125449029.6324469447,1493010.8729679582,1505377.5552176866,6906590.2623205464,6923193.2929250533
0105,105,30336,16095,15388,6205,4231,1575,890,0,1233,0,19688504.50879,23032.56428,1484839.3849744094,6900871.3411706891,24283274.3592200428,1480721.4813450917,1489163.5700448719,6898561.0591326458,6902834.9557575751
0104,104,31053,16185,15794,6137,2907,2774,1032,0,918,0,14872405.75684,20487.85836,1485238.1960604175,6897738.2419173280,18014047.3241623119,1481822.5594828797,1488688.2438530021,6895843.6715757567,6900274.5392783396
0106,106,33203,15122,14510,5795,3120,2179,1202,0,905,0,12678275.70703,20145.31113,1489861.5411859751,6900650.4293700345,16768366.2089144923,1487329.6606542335,1492074.1827871113,6898161.7208184488,6903433.6526402142
