kreisid,kreisidnum,Wahlberech,Wähler,Gültige S,SPD,CDU,GRÜNE,DIE LINKE,PIRATEN,FDP,AfD,area,perimeter,xcentroid,ycentroid,charea,xmin,xmax,ymin,ymax
0205,205,29148,18394,18073,3852,1297,5864,2468,2971,162,0,4594156.66113,12275.54059,1498722.8354370100,6894028.4025835199,6548052.3576953998,1497301.2802807039,1500336.2614198532,6892860.6776105957,6896126.1966611082
1205,1205,26796,14267,13837,4966,5625,1397,567,0,272,0,22096893.72656,22758.03487,1486658.6832318050,6911002.8151752874,25531785.5965615399,1483874.9694644127,1489049.0688433328,6907531.6867280779,6914020.7138417708
1204,1204,34667,22254,21759,6949,8555,2799,597,1656,358,0,30646837.86621,27253.32338,1482473.2732697371,6908343.3271884872,36717352.2380732149,1478430.9148757190,1486050.5217396533,6905245.9837802742,6912074.2259294158
1206,1206,28560,22522,22096,5781,10818,3678,422,0,905,0,40119931.60938,45793.19186,1480193.1261549678,6914546.2961800778,65272726.4587529972,1476336.5237029542,1484637.7017483949,6908393.4382501980,6920489.2412190307
1201,1201,30085,14933,14507,4881,4936,1398,692,1274,202,0,16184825.50684,22284.91380,1487257.8917774733,6904309.8444091268,20157374.1259884462,1484615.2815915572,1490488.1754857458,6901676.3870858094,6907539.3916145358
1203,1203,30729,21892,21300,6555,9281,3306,651,0,462,0,89008882.18164,45422.57124,1474873.9662918330,6908809.6260611620,107548080.0587753803,1469597.7867946785,1479967.8222511862,6900575.1965461792,6914558.0022011222
1202,1202,30725,16946,16501,5473,6141,1585,630,1462,312,0,43592151.50977,37230.02870,1480180.4987538094,6903037.8470528163,56005482.8608483672,1474872.6015354688,1485880.0328950672,6899971.6582652489,6907203.3196898280
0606,606,30605,22976,22608,5689,9467,4855,488,1052,549,0,44527674.38867,33508.36489,1476444.4936543510,6882295.3403955419,53387026.9129161388,1471434.9590356578,1481033.4964389310,6877165.5413081311,6885654.4452010915
0702,702,28074,18653,18288,6628,2574,5941,888,1527,221,0,7273936.17676,14486.63531,1486664.0409967694,6888486.8255293602,9607417.4645738546,1484673.1247179182,1489057.9070919408,6887041.7313257204,6890244.8375380114
0706,706,30256,18986,18395,5751,8033,2552,664,0,397,0,23870500.03809,24739.39451,1490292.6745444196,6878667.1013788814,29457965.3198685050,1487310.2504887234,1493176.4141498788,6875360.9227697803,6881546.9747494366
1105,1105,34263,17923,17394,5923,2038,2024,5633,0,217,0,14463353.16602,24093.58885,1504103.7993503688,6891865.5730136456,20694705.9195269346,1499446.3466846414,1507459.3299056944,6889999.5604660539,6893607.5034825457
1106,1106,34790,22235,21829,6642,3258,2247,7085,1758,185,0,28716512.47949,29866.09067,1504817.2148713048,6888716.5848311670,35354557.0196795836,1499314.8108037829,1508668.3733558753,6885180.5968464669,6891473.1094472473
0402,402,30795,21348,20879,6340,8324,4377,681,0,567,0,41844305.31055,42487.75446,1475792.8398656717,6893462.6591273360,57761375.9384878725,1470392.8364679771,1480560.9646748225,6889015.8462023744,6896791.0128872450
0403,403,30451,20243,19835,6613,4711,6135,944,0,503,0,7101014.05273,18535.87644,1479910.7305405780,6892753.0374284331,10521377.8851191755,1477935.8885438677,1481871.9957574417,6890823.3703349335,6894632.6696321582
0404,404,31501,19668,19096,6612,5280,5275,869,0,595,0,11579360.31348,22346.17254,1482695.7987192753,6892527.7914710734,16344563.6807906143,1480040.4453733743,1485160.2315009304,6890353.2912412044,6895146.4107371075
0405,405,30458,19972,19588,7217,7408,3165,448,0,648,0,68759595.36035,46135.24470,1474218.1436779357,6888418.7435455881,82920917.0271894783,1467925.1404443425,1482572.5944661144,6884918.0382954739,6891994.4942481583
0406,406,31577,20839,20422,6750,6012,5607,842,0,427,0,7880910.71680,13092.53021,1483734.6339540263,6889159.9696992747,8723553.4320338909,1482420.2936609839,1484889.7598547828,6886912.9819675852,6891258.2301141266
0407,407,32045,22316,21835,7263,7289,4974,812,0,518,0,13606402.01953,16849.47182,1481156.5064822030,6887013.7298324015,15121466.6164194141,1478428.2131066041,1483251.7265610464,6884991.7258438785,6889493.2121473998
0501,501,33688,18574,18041,7170,6243,2117,813,0,325,0,66873181.49121,40766.74800,1467549.6858379601,6904069.9503700109,80374327.0804105997,1461398.1991946076,1472613.7074507726,6899446.4834292037,6909128.1020384477
0705,705,30046,18043,17358,5872,5684,3626,896,0,358,0,21041293.09766,27718.41804,1490840.1051049805,6882837.4235968832,29620410.4883060791,1486750.1402848437,1494639.0197410684,6880538.4990386777,6885712.8757340787
0503,503,32290,17932,17362,7251,5769,2171,810,0,329,0,41897200.50098,36726.21570,1473302.5040515163,6897741.7239588778,56112490.5592433810,1468294.6192029922,1478565.8783065719,6893172.7057373682,6902638.6994921323
0502,502,31248,16109,15569,6205,5168,1784,768,0,267,0,15220792.14844,23669.96191,1468393.5675830925,6898120.1377444295,20751234.0339995325,1465882.3104584368,1471771.8315229409,6895009.0460374877,6900250.0099418219
0505,505,32573,21937,21391,6987,9448,2594,581,0,457,0,89692782.73438,52782.54536,1464882.7481377905,6887598.4624894103,118728271.3109229505,1459320.4956234875,1471247.1846294177,6880007.2341068853,6895469.8088292507
