kreisid,kreisidnum,Wahlberech,Wähler,Gültige S,SPD,CDU,GRÜNE,DIE LINKE,PIRATEN,FDP,AfD,area,perimeter,xcentroid,ycentroid,charea,xmin,xmax,ymin,ymax
0304,304,29425,19335,18952,4241,3497,1748,4118,392,639,3809,49658408.19238,46507.89038,1499035.8669450213,6905288.5577891013,76636086.3601895273,1495120.3116994475,1503389.5801979003,6899740.9432855444,6911604.6318029556
0305,305,30157,21038,20694,5004,2498,3032,5226,522,580,3187,14886978.54004,21544.07718,1495016.6106881422,6903106.8515846469,18256217.9415225685,1491532.5677479329,1498082.5892950285,6900472.8211369561,6905705.2328631850
0306,306,31352,23096,22898,3986,2055,8357,4681,667,849,1241,7014184.45215,12418.05511,1492804.9481554674,6899910.5840175189,8566304.3945845142,1491330.0958191892,1494712.0228134126,6898212.3569322927,6901761.1499080202
0307,307,30675,20682,20367,5089,2092,3969,4607,628,719,2470,7188402.55664,13565.73269,1495562.9423661323,6900111.0312359501,8757395.4805570189,1493210.2117794910,1498234.3160127497,6898493.5219156742,6901604.2679038430
0308,308,28859,21361,20997,5372,2399,6247,4197,578,1279,0,6913075.54492,12215.22536,1493889.3452717359,6897502.5026979698,8275053.1034516077,1492147.7067062783,1495948.9669596085,6895714.3880531890,6899182.9329578206
0309,309,34002,23642,23264,5718,2670,4379,5483,562,857,2832,14423273.29102,21679.97235,1497500.7546972246,6897698.8905187007,19452510.6105107442,1494313.0189569597,1499708.1462117317,6894686.5170714129,6900552.9332215488
0401,401,29619,18184,17811,5160,3443,2772,1576,400,1338,2609,23473114.97363,29057.71697,1480688.7960319496,6897550.0946886754,30010011.2393827252,1477206.0509653259,1483792.4852941912,6893691.1212179940,6900085.4282693462
0402,402,30787,22466,22134,5678,6334,3520,1409,309,2467,2305,41874827.11621,42401.94958,1475794.7427825504,6893464.7394335037,57768609.4736035466,1470392.7221446799,1480562.7087779145,6889015.6686920598,6896791.0804942520
0403,403,30993,22170,21891,6356,4111,4968,2095,359,1727,1706,7100981.34277,18490.26566,1479910.4732163791,6892752.9240487907,10514772.6555391885,1477936.6029398877,1481871.8585756563,6890823.1942259558,6894631.3140044482
0404,404,31850,21710,21334,6100,4334,4254,1947,404,2435,1860,11581454.72266,22313.96630,1482695.1132686485,6892527.8777039079,16299310.9632892832,1480040.3066829292,1485160.2031306529,6890353.1220377218,6895146.2554444652
0405,405,30325,21338,21017,5184,6010,2975,1395,286,2914,2253,68760557.18164,46043.29766,1474218.1763007871,6888418.4984510457,82917002.7058010101,1467925.0291520599,1482572.4556289196,6884917.8422261830,6891994.3089463916
0406,406,31531,22363,22003,6591,5070,4353,1909,0,2086,1994,7880219.63477,13088.60606,1483734.5849169132,6889159.8739304421,8722919.2704964690,1482420.1528318687,1484889.6137167306,6886912.8147364529,6891258.0645833928
0407,407,32481,24048,23548,6455,5906,4269,1932,0,2027,2402,13604701.58789,16840.03458,1481156.8169182863,6887013.6149939401,15112345.6317530461,1478428.0738705618,1483251.5798275145,6884991.5487587955,6889493.0419034036
0501,501,33652,20337,19804,6138,5199,1467,1258,384,1252,3561,66874693.38574,40647.52237,1467549.8414413484,6904069.5579792559,80386743.2266516685,1461398.2078417197,1472613.5604371245,6899446.2406529756,6909127.8190342020
0502,502,30853,17809,17170,6395,3821,1116,1016,390,889,3008,15191950.60059,23709.81861,1468394.3995702500,6898119.6365613928,20679147.8339579068,1465890.1236286289,1471771.6953521094,6895007.6837856192,6900251.1582278516
0503,503,32816,20044,19520,6848,4411,1623,1382,497,1308,3234,41906574.07715,36853.82721,1473301.4403171237,6897741.4121178323,56124110.0832266957,1468294.5014207747,1478565.7329581901,6893172.6156861950,6902638.5471234545
0504,504,32755,21666,21099,6355,6411,1417,1264,421,1398,3605,34099902.69434,28753.06682,1463570.3812197139,6897520.9832487274,38235477.6713940948,1460220.2316214161,1467422.5610905483,6894151.6727056513,6901290.2856070958
0505,505,32684,23575,23143,6392,7358,2201,1159,350,2193,3490,89706023.59961,52898.03156,1464882.5100288535,6887599.3085245239,118627649.7462106049,1459320.3518825958,1471247.1187491966,6880006.9992593303,6895461.1865339186
0601,601,32400,23888,23517,6112,5430,5553,1663,471,1715,2185,12845768.79004,22094.21249,1482176.9557762130,6883381.2328322912,20063185.6188304052,1479697.0678141352,1485872.5443641075,6880774.3635594258,6885543.4859892111
0602,602,31727,22442,22037,5923,5276,4390,1608,538,1733,2416,12354240.82031,17768.41688,1484671.9420534072,6881925.1124054780,15997576.7033599913,1482169.5651480732,1487493.6480559325,6879547.4964405214,6883754.3892178209
0603,603,33085,25598,25259,6253,8097,4302,1270,421,2489,2427,31289625.73926,30266.54758,1478413.0495691926,6877183.1992179947,36607426.0171689689,1474698.6806605714,1482372.7583766144,6873540.3954593735,6881369.5472136624
0604,604,29657,21585,21232,5168,6848,3021,1152,414,1959,2670,22737667.12695,26069.68661,1482768.0342245600,6876172.6241680477,27879554.7582740486,1480096.2667893518,1485597.2096119078,6872612.8953550356,6879886.3481788086
0605,605,30702,21068,20628,5520,6112,2394,1295,562,1726,3019,19273374.69922,22180.88644,1485745.9071135449,6878799.8209839081,22742639.9367348440,1482376.0241795674,1488519.1106766446,6875546.8728965642,6881100.8384582866
0606,606,30919,24294,23984,5608,7276,4349,1294,392,2637,2428,44525844.62500,33516.78555,1476444.2833160288,6882295.2066288441,53385791.8342265561,1471434.5093191119,1481033.6840679771,6877165.3417257005,6885654.2606659438
0607,607,29983,23969,23639,5538,7311,4023,1109,346,2941,2371,132432809.41406,76268.10806,1466649.2389247369,6878424.5647831094,182184892.6722367108,1456987.9624015554,1476147.5279414260,6870445.7652454646,6885893.2887647068
0701,701,33619,22956,22587,6019,3288,6642,2782,596,1503,1757,8638200.25781,15484.44151,1486420.2125774045,6890163.7823520517,10965087.7017061319,1484656.5514783838,1489057.8295817676,6888487.1017971402,6891945.3209429327
0702,702,32441,22810,22440,6383,2697,6900,2765,541,1020,1554,11661142.73828,17508.17505,1486812.3158468618,6887622.0448715091,13519694.3855475262,1484672.9730804630,1489179.2810450702,6885596.0324427728,6889501.4935489744
0703,703,34015,25568,25146,7893,4194,6917,2090,502,1609,1941,16215289.10254,24378.69837,1486101.3658655721,6884661.7511122013,23678593.1810079776,1482773.6796656807,1488823.3545874935,6880891.8653665371,6887080.4696710007
0704,704,33191,22559,22136,7190,4179,4131,2042,555,1238,2451,24314874.34766,23026.97278,1490626.4036088719,6885415.5647712825,28057598.8296218179,1487832.6031861524,1493558.0403145545,6882088.5593059249,6888450.3171658535
0705,705,33988,21501,20978,5829,5478,2509,1599,473,1523,3312,25432001.65234,26637.90745,1490981.1269968725,6880926.4358180081,31738997.1609701365,1487505.6738780166,1494638.8138162675,6877531.7204588419,6884797.2548413137
0706,706,33313,22305,21562,5444,6929,2242,1190,362,1860,3535,33125749.24512,29775.78413,1489045.2847291555,6874850.7102286192,38930982.6718308404,1485307.1899538361,1492371.9167813133,6870613.7928191395,6879046.4957329705
0707,707,33307,23455,22953,5397,7755,2410,1090,328,2033,3567,23136925.65430,22256.12958,1492443.5581597232,6871542.7435751604,25882767.8849177025,1490081.6382039010,1494737.4416897255,6868423.9303539963,6875441.0778152999
0801,801,28400,18406,18151,4034,1299,5778,3852,587,440,1212,6039130.28809,14328.43850,1496294.0565090266,6888330.2254781257,7665309.0573516479,1493952.1134008979,1498200.1076363830,6886263.1882810974,6890285.3197490005
0802,802,28767,17896,17585,3712,1166,5299,3871,544,397,1185,10290237.55859,16289.80742,1494402.8912590251,6887140.1724267974,12528673.2955267318,1492356.0850199948,1497005.3435357152,6884716.4434332969,6889005.0249778545
0804,804,30137,18983,18478,5664,4228,1743,1474,331,1165,3289,19642501.59863,26110.45588,1497665.0025331592,6881512.4713961668,27361360.6682260260,1493975.2099594784,1501894.9806039084,6877938.5677087745,6884653.9051041454
0805,805,27626,18799,18254,5293,5473,1435,1072,0,1486,3320,31461822.67676,33327.47220,1494846.9299895524,6878163.1869522864,48134819.9357582554,1491625.1487739228,1500625.6718000411,6874634.3908257941,6883137.0294950083
0806,806,29662,16981,16433,5400,3920,1009,1144,0,1246,3491,10363191.02734,14532.47282,1498701.3844208168,6878231.5965928249,11394844.3818718363,1496832.6546213329,1501197.4602527027,6876358.7416294618,6880808.2747636056
0807,807,28093,20270,19735,5614,6683,1383,945,0,1467,3452,27616953.88086,22081.81164,1502586.6582681150,6875474.1722910106,30280858.7044940367,1499720.4119740445,1505491.8376831603,6872036.4803354274,6879417.4047197383
0901,901,33657,22587,22169,5176,2224,3429,5842,641,567,3417,27436101.41113,40401.50182,1500305.8560406170,6885949.2198982593,51516841.2800568342,1496095.8633796261,1505172.4732824422,6880583.6242080620,6890598.5698940344
0902,902,37359,24110,23662,6263,2976,1887,5804,570,0,4966,47171653.28027,50069.24094,1504810.0957426268,6882808.2676071664,65934899.7306641042,1500432.1618775576,1510037.7591533037,6877653.7713816119,6887991.5644271765
0903,903,34339,22781,22350,4949,4069,1525,4347,382,827,5328,39089827.60254,35891.77586,1507387.0272783677,6877100.0820127865,47889993.2797515467,1504592.5485501967,1510457.1228355770,6871866.5592817608,6882055.4854192818
0904,904,34088,23682,23264,6279,3610,1909,5313,543,0,5016,99172998.51758,87515.37359,1515136.2230098024,6872214.4035031237,233405586.6692220271,1506689.7782059957,1525145.9692213770,6861516.7445063069,6884394.0776498094
0905,905,29732,20475,20064,5281,2705,1337,4649,396,0,4974,130493817.50391,57606.20203,1519819.6624002820,6876128.2177971061,154797083.5992075801,1510736.3314768781,1529379.7353126197,6869215.5247972272,6881865.8402562924
0906,906,33253,24279,23849,6032,4153,2358,6088,539,0,4513,107012379.52344,80860.10051,1520840.6361760353,6882579.0713605005,147002149.7406076193,1507537.0743850151,1531883.2311377244,6875765.6534299767,6887589.3377477881
1001,1001,32544,16494,16089,2971,1468,665,4611,0,384,4916,12664079.87012,18041.01797,1510675.5832408976,6902341.3679810921,15680696.2084531076,1507770.2966022359,1512585.1974903545,6899477.4300327729,6904677.9822279951
1002,1002,34545,20347,19912,4143,2160,828,6328,0,577,5047,22235287.62305,22293.81252,1508311.3888009808,6899913.9122892292,24991906.2993778586,1505635.6994642122,1511415.7290625921,6897190.0733136898,6903281.5569383176
1003,1003,33808,17316,16903,3261,1602,775,4753,0,479,5037,17095633.34668,22662.33548,1513835.4477897307,6898291.1199532337,21617267.4508429356,1510239.5629319432,1518136.0349080518,6896368.0680918768,6900186.5506894756
1004,1004,34019,23358,23002,4008,5989,1114,5964,0,618,4526,47314632.07227,38082.53516,1508578.6772113272,6893314.1142807342,62837886.3883594275,1504692.5292427498,1512180.1854629009,6886150.0776073877,6898283.9808821827
1005,1005,32855,25765,25441,3181,12019,1225,4148,0,663,3998,52143862.72656,41776.48795,1514610.3073957642,6891198.9701055987,71373801.5680564046,1509879.6139353972,1520457.5173642014,6885644.7545603411,6896633.4275779026
1006,1006,32748,18927,18511,3993,3333,929,4675,0,524,4360,15223211.41699,18266.93229,1513612.5102773616,6895273.8604514003,16785015.5243007168,1511026.9305290529,1516777.2005257900,6893192.3818380935,6897714.0194914453
1101,1101,30084,16815,16471,2684,3451,599,4118,368,329,4277,35901010.31543,27061.29110,1505608.1718660325,6905294.5871916180,40892071.2501127422,1501199.0255437377,1510350.0243168925,6901248.9767171172,6908700.6259399327
1102,1102,32599,20623,20200,4081,3043,994,5876,415,683,4485,29196636.00684,37473.38712,1502803.1822213968,6901180.0033689700,42666251.1117764637,1499141.4822081206,1506404.8389764589,6897633.4454776030,6907030.2792311655
1103,1103,35695,21144,20680,4672,2489,1185,6286,509,564,4414,19761431.47168,29632.80303,1502683.2257060113,6896381.4424371039,31205468.4823376387,1498454.7586303283,1505896.0924674484,6892806.5242849989,6898896.4133612160
1104,1104,35213,22419,22018,4833,2256,2208,7223,617,651,3744,12587386.48926,19659.05941,1501162.9979561863,6894289.0167107256,17526786.7894144654,1497937.2980929685,1503878.9265123603,6891599.2295902641,6896442.6741906703
1105,1105,34420,21614,21215,4813,2197,2463,6270,686,547,3605,14432866.77637,24202.32284,1504103.2324663303,6891868.0420476431,20666702.6845504045,1499446.0911846946,1507459.0651423936,6890000.4176832242,6893607.4720693287
1106,1106,36700,26078,25666,6843,3566,2240,7378,582,800,4003,28753749.95410,29902.38907,1504815.7918046014,6888719.4885467775,35394019.6270540431,1499314.6626169148,1508668.2318394717,6885180.4281140743,6891472.9571026545
1201,1201,29725,16504,16086,4234,4285,1428,1466,421,840,3125,16169053.59668,21950.40169,1487259.7469443148,6904303.3576352093,19844309.0485192724,1484868.3190766883,1490488.0389429498,6901676.1611606684,6907539.2812839476
1202,1202,30235,18394,17862,4656,5113,1557,1144,446,1271,3675,43616210.77246,36853.87711,1480182.2033154790,6903040.6745875617,55933759.3956594467,1474886.9054280256,1485882.4700929676,6899971.6010964951,6907172.5573328715
1203,1203,31122,23617,23171,5461,7770,2882,1205,0,2068,3368,89033376.44043,45487.78582,1474875.2201215257,6908809.9391657282,107575796.0209730268,1469597.6606643067,1479961.2446332832,6900563.4504167773,6914557.7133715404
1204,1204,34788,23909,23392,6027,7558,2312,1281,497,1771,3946,30642376.66797,27332.96061,1482472.6071026567,6908343.1951914532,36766801.8655648455,1478415.1300705615,1486058.0770099820,6905245.7371569956,6912074.0088952566
1205,1205,27228,15582,15165,4265,4624,971,840,261,928,3045,22096819.76855,22784.08308,1486658.4122193535,6911002.6204065979,25547825.0820583850,1483874.9477939357,1489048.9371640494,6907531.4280594597,6914020.4389547231
1206,1206,28560,23365,22990,4920,9128,3058,928,256,2401,2299,40096454.73340,45686.61360,1480194.0736328415,6914550.6046011401,65143108.4779490158,1476336.5253132710,1484637.5869400273,6908428.7353499839,6920488.9877986414
0107,107,27437,15335,15044,4736,1814,3052,2552,460,624,1569,10364778.80957,20268.66204,1489243.5589597626,6898911.4107470391,14555541.6928216796,1485561.1678770594,1492065.2183153259,6897480.8843040699,6900352.1612554817
0803,803,29768,16672,16252,4436,1470,3529,3360,453,411,1408,15299727.13965,21415.53501,1497667.4356070869,6885306.3012209926,20257173.8985445574,1493973.1595917528,1500425.1999389618,6883504.7655762425,6888393.8969690250
