uwbid,uwbidnum,Wahlberech,kreisid,xcentroid,ycentroid
09302,9302,1959,0903,1506880.1705865460,6880959.8054625997
08522,8522,1384,0805,1499563.7065177308,6877255.6635891646
08214,8214,1365,0802,1494170.1023692731,6886392.1550999368
07709,7709,2282,0707,1486995.2311404077,6874791.8687645411
06416,6416,1784,0604,1483997.0004698429,6875382.1054804893
06116,6116,1905,0601,1481820.0643800853,6881451.8853074983
05401,5401,986,0504,1462147.0638437471,6900431.9489107011
05122,5122,990,0501,1465431.9688941611,6900412.3201950667
04520,4520,1373,0405,1479367.6827926184,6888398.6597594796
04210,4210,1235,0402,1476140.8579832702,6894539.8157101795
08303,8303,1467,0803,1495321.4173159353,6885041.5253482033
07801,7801,1881,0708,1489484.3417773833,6871513.4995457893
07112,7112,1963,0701,1486286.0593142333,6889602.7485811925
06508,6508,1873,0605,1486505.0175773760,6879242.8126114737
06206,6206,1669,0602,1486885.4910397495,6881129.1294734012
05419,5419,796,0504,1463683.6508469421,6896888.1408034516
05205,5205,746,0502,1468192.5270604915,6897872.4940514155
04613,4613,1278,0406,1484517.9577464079,6889236.4449371640
04304,4304,1173,0403,1480895.5738597065,6893746.7477169968
03801,3801,1993,0308,1495113.1824016629,6898399.9287521560
03304,3304,1936,0303,1493614.7073890467,6906744.8752890825
02402,2402,2075,0204,1494896.6699020853,6895383.8685693583
01635,1635,1310,0106,1490347.9550754551,6901018.3841039278
01417,1417,802,0104,1486294.8384204917,6896393.2497328240
01129,1129,1190,0101,1490786.3342825957,6898118.1416707421
12513,12513,1360,1205,1485733.4699184573,6909271.1683007935
12204,12204,789,1202,1478322.6826929571,6904394.4264614070
11410,11410,1840,1104,1500891.8411623819,6894899.2775718495
02611,2611,2047,0206,1498815.7511942601,6892032.1890959619
10410,10410,1369,1004,1509604.9368063600,6895550.8449006788
10106,10106,1338,1001,1509303.8388861793,6903172.9781123679
08621,8621,1712,0806,1503218.2808242491,6873488.7098386614
08309,8309,1013,0803,1496619.5358188571,6884011.4799287999
07807,7807,2022,0708,1493590.7180362120,6872375.5187624078
06514,6514,1675,0605,1485733.9731257178,6877040.0062342621
06212,6212,1865,0602,1485269.9871390187,6881164.5509236148
05425,5425,1227,0504,1463305.2967174270,6896105.5752441240
05211,5211,861,0502,1469405.9254366036,6899382.5017005410
12118,12118,1807,1201,1487098.6749242344,6903012.4601320634
11319,11319,1292,1103,1503908.8684026466,6895688.5424647126
09619,9619,1514,0906,1528647.0955130076,6880452.1017515408
09314,9314,1956,0903,1507377.5874435743,6872755.5212359782
08609,8609,1073,0806,1503003.3406155726,6876236.6605090108
08226,8226,1027,0802,1494570.9360548700,6885115.8718767650
07412,7412,1868,0704,1488776.3250863149,6884651.5108215706
07106,7106,1765,0701,1485987.0893499434,6890524.5093753831
06502,6502,1698,0605,1485485.2799124289,6879808.7273855219
05413,5413,1022,0504,1464994.0943362815,6897227.7184770675
05134,5134,863,0501,1471463.6020427507,6901404.0179078309
04607,4607,1122,0406,1483643.7538270331,6890146.3365501659
04222,4222,837,0402,1478757.0629839217,6891595.3074391456
03712,3712,1948,0307,1494760.6626618986,6900226.3346851235
03216,3216,1976,0302,1491906.7398684369,6907009.3179419320
01629,1629,771,0106,1487683.2209881032,6899529.9028954422
01411,1411,992,0104,1485027.2241052617,6896109.2064733068
01123,1123,1108,0101,1492295.4339913551,6896263.7877723388
12507,12507,856,1205,1487433.9026089604,6910457.7913785707
02605,2605,2207,0206,1497898.8987884009,6893009.4601365430
12124,12124,1078,1201,1488665.6754372315,6902919.1385805989
11404,11404,1964,1104,1499399.1153576195,6895683.2726898510
10404,10404,1598,1004,1507980.5596338003,6896284.9322951538
09320,9320,1983,0903,1505386.1191097961,6873186.9992645783
08615,8615,1801,0806,1501843.2024203970,6873567.5851831809
05521,5521,1030,0505,1468649.5569054557,6894150.4517255062
05305,5305,998,0503,1472409.7939873086,6899381.3142698957
04722,4722,926,0407,1479354.8575668475,6886131.2923513064
04415,4415,1469,0404,1483625.6721773159,6892687.3337622993
03917,3917,1570,0309,1495184.4069646397,6896850.8254436674
03507,3507,1925,0305,1494522.5259382750,6901879.7739855573
02514,2514,1847,0205,1498899.8284238190,6893372.0688960953
02208,2208,1701,0202,1494234.7025841568,6890416.1420363458
01518,1518,1407,0105,1486006.3464332740,6900251.1366031487
01300,1300,1192,0103,1487800.0688666671,6894455.4401917281
12621,12621,950,1206,1481110.7386375044,6911814.4294410283
12315,12315,1505,1203,1472317.3800091194,6906227.6102272691
11604,11604,1845,1106,1502492.8476778842,6890529.4265833218
11204,11204,1211,1102,1502217.6019926560,6903420.7989092506
10520,10520,1141,1005,1516919.0872811649,6892728.2882008879
10216,10216,1255,1002,1507174.9808880591,6897746.8657052787
09506,9506,1398,0905,1515267.9032503108,6879396.6190428287
09206,9206,1795,0902,1501747.2708458814,6880746.8983574724
08421,8421,1513,0804,1496642.1636775373,6876603.5372761302
08118,8118,1469,0801,1496585.3692297067,6887886.6185329445
07609,7609,1921,0706,1488414.3382821651,6877179.7887384631
07301,7301,1954,0703,1483159.5081483796,6886625.3877185807
05527,5527,765,0505,1468684.6280824039,6893324.9363647914
05311,5311,1052,0503,1469133.7573682922,6895578.1599092623
04804,4804,1592,0401,1483148.1274640905,6894966.5906986017
04421,4421,1205,0404,1484477.3965174989,6891657.0152262971
04104,4104,1003,0401,1478866.8957821161,6897801.5306313578
03513,3513,2134,0305,1493896.3990311173,6903484.5484344410
02214,2214,1755,0202,1496389.7123498446,6890853.1542508649
08409,8409,1550,0804,1496339.7778955514,6878497.5848804414
08106,8106,963,0801,1495042.8004180370,6889584.8874961957
07215,7215,1418,0702,1487174.6809959623,6887814.1340634469
06609,6609,1729,0606,1478609.2974403412,6881137.3974088039
06307,6307,1719,0603,1476477.6275213021,6876864.5118452786
05515,5515,758,0505,1467777.2516302499,6893651.5144607620
05234,5234,741,0502,1468584.3546019148,6897773.6901043681
04716,4716,1402,0407,1482141.7981751617,6885179.5316171665
04409,4409,1226,0404,1482497.2527900103,6893034.8547539450
03911,3911,1830,0309,1497239.8646516518,6896502.5355703542
03501,3501,1750,0305,1492086.2548257147,6901934.5898795566
02508,2508,1486,0205,1499771.2590563728,6894217.3134449013
02202,2202,1967,0202,1493326.4347902955,6889374.9664966715
01512,1512,1234,0105,1485527.4162412935,6901317.1002834914
01226,1226,490,0102,1492892.9943775269,6894491.0792653952
12615,12615,1746,1206,1481202.3798315951,6913854.9374796450
12309,12309,1107,1203,1475266.6019178885,6911049.5500448551
11517,11517,1753,1105,1500085.1796774785,6891876.4450011840
11118,11118,1602,1101,1505902.5053976509,6903377.4315633168
10514,10514,1247,1005,1511668.0726422246,6889972.9037944991
10210,10210,1195,1002,1508834.1545070179,6899453.3840470705
08415,8415,1043,0804,1492766.8922718661,6875391.5457764296
08112,8112,1019,0801,1495922.4893988085,6888648.7626139158
07602,7602,2318,0706,1490672.8440774337,6880678.3911093473
06615,6615,1819,0606,1478111.7605439653,6880019.3020533221
06313,6313,1624,0603,1479040.2201872789,6875945.1446254337
10606,10606,1823,1006,1513365.9443370688,6895361.9175774651
10302,10302,1166,1003,1512316.5139932774,6899292.3863893887
09518,9518,1560,0905,1521734.2045043774,6872338.0644628024
09218,9218,1143,0902,1505343.0916772557,6883276.4896300556
08510,8510,1661,0805,1498829.9840634537,6878743.2055663290
08202,8202,1185,0802,1493711.2964386963,6887199.5175866699
07313,7313,1797,0703,1483442.1502606925,6884978.5942607988
06709,6709,1745,0607,1469792.2342581323,6878443.4739057608
06404,6404,1970,0604,1483054.8342015480,6876744.8715871898
06104,6104,1944,0601,1483161.2167764551,6884618.6244890075
05323,5323,950,0503,1474463.6465204207,6898318.1994208014
05110,5110,925,0501,1469984.9147478545,6902193.6860252246
04508,4508,1197,0405,1480028.4078462292,6890837.7670651162
04116,4116,1276,0401,1480733.0364708651,6895648.7701995540
03608,3608,1703,0306,1492357.7651226453,6899791.5960545931
03110,3110,1673,0301,1501562.1671152541,6911265.2488385420
01318,1318,1146,0103,1485288.0180093115,6894771.2420136016
01605,1605,1079,0106,1491046.8776116034,6901397.6994014736
12409,12409,678,1204,1483703.0221194937,6909747.4254693249
11622,11622,1695,1106,1505994.1614028730,6886594.6426426712
11301,11301,1607,1103,1498910.6633235924,6896763.5582374176
10612,10612,1892,1006,1512345.0328107160,6894429.9686212391
10308,10308,1779,1003,1512604.8221424508,6898527.3049265379
09601,9601,1956,0906,1518298.2451096226,6882304.6204730617
08516,8516,1303,0805,1499130.5212291491,6877704.5755674252
08208,8208,1099,0802,1495899.6679813983,6887567.0501226308
07703,7703,1957,0707,1490615.8329527036,6875534.2954304935
01524,1524,1287,0105,1487641.2120500803,6900956.9716858082
01306,1306,925,0103,1485116.3207437033,6895587.1669260040
12321,12321,1303,1203,1479292.3288802148,6905650.4160778038
11610,11610,1661,1106,1504571.6213231920,6889151.3089940595
11210,11210,2083,1102,1503734.4673713204,6902485.2715168325
10526,10526,1138,1005,1519337.9480831248,6895646.3401459223
10222,10222,932,1002,1509388.8258478672,6898130.7459014282
09512,9512,2043,0905,1511953.8849331809,6878848.1155442521
09212,9212,2130,0902,1507696.7176962122,6882284.8887845092
08504,8504,1172,0805,1498707.7097195452,6880169.4363781521
08124,8124,1451,0801,1496766.0738751914,6886889.4509624075
07615,7615,1772,0706,1491688.6191517264,6876757.1999647366
07307,7307,1887,0703,1484228.0024146850,6886038.1349321064
06702,6702,1915,0607,1462185.6682194960,6873776.4998997729
05533,5533,794,0505,1466362.2666043891,6894510.3596974649
05317,5317,1025,0503,1471804.8115697624,6898362.0089104511
05104,5104,996,0501,1471634.1463465071,6903460.6804380473
04502,4502,1155,0405,1477224.4509318762,6888840.3246991867
04110,4110,1232,0401,1480526.8023410847,6897736.6584576946
03602,3602,2009,0306,1491862.0070150592,6901159.0519695953
03104,3104,1158,0301,1502200.2299397101,6915255.3503001388
01530,1530,758,0105,1487148.9610617720,6899777.0232492639
01312,1312,1299,0103,1484449.2463157855,6895217.1598650375
12403,12403,793,1204,1483808.2942767912,6911490.8684063060
11616,11616,2093,1106,1505247.8022691247,6888212.5820448725
11216,11216,1562,1102,1502634.5457109585,6899747.5616335943
10601,10601,1815,1006,1513411.0756230769,6896658.2765290504
09513,9513,2125,0905,1513865.4663683674,6878329.4980129031
06513,6513,1904,0605,1485349.0416458501,6878012.8858687012
08505,8505,888,0805,1499130.9203267798,6879589.2256787242
05424,5424,1023,0504,1463678.1598985780,6900117.3385930471
04618,4618,1118,0406,1482761.1093820338,6889362.4024025584
06703,6703,1255,0607,1463562.4451349778,6878866.9217996821
03806,3806,1591,0308,1494249.0855113135,6897232.7858039727
05534,5534,850,0505,1465892.2160930664,6894805.0330601223
02407,2407,2310,0204,1496893.0048904018,6895211.8179550422
05105,5105,1123,0501,1465378.0251937055,6904999.7865242613
01422,1422,751,0104,1485760.3982927580,6897300.2201390825
04111,4111,1064,0401,1480699.0904211106,6897453.4090587897
12518,12518,1016,1205,1485262.4579464709,6908897.3287688699
03105,3105,1916,0301,1501828.7796162243,6914320.0678990511
11415,11415,2014,1104,1501613.5128241105,6893657.4063091455
02616,2616,1241,0206,1500327.7067118692,6889564.0571788112
01600,1600,1210,0106,1488167.8541768403,6899042.0624270923
10415,10415,1418,1004,1511024.1815652312,6896648.8694727030
09403,9403,1887,0904,1510792.8125818493,6874110.5361822182
11617,11617,1246,1106,1506106.4454840028,6887707.5518426057
08314,8314,1339,0803,1494564.8023126337,6883639.7765177852
10607,10607,984,1006,1513275.9787445343,6894675.5138132134
07504,7504,2005,0705,1489405.1896398177,6883207.1871498022
08511,8511,1532,0805,1498620.7392651541,6878289.5131796002
05430,5430,1023,0504,1462555.8067750735,6898677.1429576790
04624,4624,1400,0406,1483495.3329046613,6887604.8300188910
11403,11403,1682,1104,1498819.5210266095,6895826.6714002853
02604,2604,2314,0206,1497317.9850987843,6892817.6715195449
01519,1519,795,0105,1485721.2934707904,6899972.6396413427
10403,10403,1805,1004,1507982.8395341113,6896989.4683145648
09319,9319,879,0903,1506569.8204228079,6873262.6324115451
12622,12622,1066,1206,1479797.7641110455,6910702.5231780224
08302,8302,1317,0803,1498534.1810167343,6886125.4270009734
11605,11605,1844,1106,1503024.8532673118,6889636.7681850949
10521,10521,1430,1005,1515762.2979868809,6893813.0025550043
06507,6507,1704,0605,1486013.2897046600,6879504.8030490736
09507,9507,907,0905,1514554.3031618630,6880248.2169480519
05418,5418,946,0504,1464817.1760316193,6900386.6214164486
08422,8422,1502,0804,1496527.3802035307,6875946.1402067775
04612,4612,1468,0406,1484319.7820747087,6889645.3476555916
07610,7610,2091,0706,1489994.0490932292,6877608.0303532993
03717,3717,1443,0307,1493439.5235995750,6900307.6765475674
02401,2401,2220,0204,1494415.3013874448,6895742.9100006465
05528,5528,927,0505,1462748.4636823602,6881829.4459263459
01416,1416,1288,0104,1486344.9506116570,6899958.6859077988
04805,4805,1342,0401,1482167.3518460260,6894246.1319179581
04105,4105,1084,0401,1478456.0589553141,6897583.8360140659
12512,12512,982,1205,1486131.9828678304,6909772.9363917457
02610,2610,2109,0206,1499247.9797418099,6892168.6751186550
11409,11409,2201,1104,1500098.3361783088,6895037.9348781854
01525,1525,860,0105,1487738.2169042174,6900408.0188902002
10409,10409,1515,1004,1509176.8320566486,6896717.3815384470
11611,11611,1219,1106,1505659.8021485168,6889568.9167605611
08308,8308,1311,0803,1495558.7937338788,6883996.4027111493
04205,4205,1412,0402,1473730.0972806655,6892369.7133663809
12603,12603,1050,1206,1480791.9645157582,6917871.7408275492
03117,3117,1959,0301,1497059.6855644651,6912883.1244354816
11505,11505,1578,1105,1503772.0734505178,6892737.9541629227
01612,1612,884,0106,1489485.0225971388,6901033.3359983452
10502,10502,1101,1005,1514811.5284192096,6887204.8759337645
01106,1106,1151,0101,1490262.7980153847,6896594.9892135197
09415,9415,801,0904,1514425.1455025910,6870946.2631394295
12107,12107,1303,1201,1488105.8647680725,6904138.5197362201
08403,8403,1611,0804,1496301.8818606976,6880457.7532978933
10619,10619,961,1006,1515097.4035351851,6896362.6159555065
09608,9608,1177,0906,1514437.8787630135,6882866.6602656711
06603,6603,1589,0606,1475129.7202816217,6880973.2907205410
08523,8523,1438,0805,1498273.8589395785,6877045.2135676583
05509,5509,834,0505,1465057.8979271008,6884166.4733125512
07710,7710,1809,0707,1488329.7346573502,6873550.1405895343
04710,4710,1602,0407,1482524.7868654763,6886563.2863992127
03905,3905,2166,0309,1497402.1507929324,6899124.8610694632
06117,6117,1755,0601,1480564.5017495407,6881894.7179009272
02502,2502,1864,0205,1497571.7198944031,6894915.8661381248
05123,5123,923,0501,1465908.5356716325,6900822.2769052954
01506,1506,1033,0105,1484944.3606856198,6902251.9804011974
04211,4211,1365,0402,1477064.4722008351,6894383.5489769820
12609,12609,1444,1206,1478428.4387617335,6914865.8464398822
03205,3205,1757,0302,1493396.4390276580,6909899.0725151952
11511,11511,1918,1105,1503533.5857965881,6891914.0915285358
01618,1618,767,0106,1488583.8659754165,6900108.8905619169
10508,10508,1207,1005,1514015.1828489252,6889016.5020082621
01112,1112,1104,0101,1492058.5313715488,6898123.1813084846
09421,9421,1884,0904,1511430.6633568655,6882920.4436303619
03812,3812,1676,0308,1493434.9096505307,6897182.8791373549
06710,6710,1746,0607,1469975.2557892241,6876689.8576123351
02413,2413,1835,0204,1494960.4067251161,6893343.1526642935
06105,6105,1563,0601,1483676.8427427213,6884166.8560006749
01428,1428,924,0104,1486151.9075418918,6898468.8714267500
05111,5111,922,0501,1469581.6681893559,6902739.3248300916
04117,4117,1457,0401,1481482.9197863187,6895203.7008243361
12524,12524,1261,1205,1487653.4065372411,6908604.8325444441
03111,3111,1962,0301,1500586.9676174624,6912725.1780175986
11421,11421,1317,1104,1500280.2491766997,6892633.4938611463
01606,1606,1056,0106,1490485.2290710453,6901546.1934486087
10421,10421,1139,1004,1509523.0634687538,6890871.1088758344
01100,1100,1110,0101,1488780.8191602516,6897364.8341193330
09409,9409,1745,0904,1509837.4492993464,6880126.4851182159
12101,12101,1189,1201,1486436.7698514957,6905935.2872455511
08320,8320,1624,0803,1497840.9457245315,6882509.6438202299
10613,10613,1724,1006,1512554.9730644885,6893724.7963991528
07510,7510,2020,0705,1489001.5394454279,6881670.2169908108
09602,9602,1366,0906,1517090.8521943602,6882684.4561062353
08517,8517,1303,0805,1499924.5335388177,6878576.9777468676
05503,5503,827,0505,1466746.9947786881,6893042.7710183496
07704,7704,1380,0707,1485785.3125061903,6875335.5651796870
04704,4704,1489,0407,1482020.2738516317,6887941.4265442314
06716,6716,1331,0607,1473936.4193819899,6879543.4056159081
03818,3818,1185,0308,1492458.7307966780,6898058.4883216266
06111,6111,1778,0601,1484449.0435488489,6884142.3451936478
05117,5117,1041,0501,1466758.8482134242,6900640.6604020074
01500,1500,987,0105,1483040.1925385999,6900562.9086048324
10307,10307,1831,1003,1512897.5619896676,6899042.4931288250
12525,12525,964,1205,1486509.4381906455,6908210.1780852238
11422,11422,971,1104,1501547.2288227966,6892553.4444935583
08207,8207,1108,0802,1495308.8401541999,6887556.6047341758
10422,10422,1102,1004,1509956.1897111333,6889393.4435505746
09410,9410,1634,0904,1510341.5383909231,6878908.8673406299
06409,6409,1850,0604,1481128.3009537177,6876956.5565852951
08321,8321,1673,0803,1494662.9669657184,6881747.8193061706
05328,5328,830,0503,1477485.5554427777,6897863.7049875101
07511,7511,2148,0705,1489902.4187483005,6882063.3013333511
04513,4513,1431,0405,1481421.4236262001,6890538.7711327653
03613,3613,1460,0306,1493255.2698574918,6898852.7699114541
05504,5504,901,0505,1467717.5371534715,6892813.0116639417
02303,2303,1940,0203,1491683.1155301463,6889755.6789393974
04705,4705,1328,0407,1482738.3402728606,6887808.5216252888
01323,1323,1088,0103,1486956.7647644631,6891793.0181966266
03819,3819,1021,0308,1492691.8182730558,6897732.0091535011
12414,12414,901,1204,1483389.2356225955,6908679.4432322010
11306,11306,1824,1103,1501326.1719067292,6897560.6982219014
01501,1501,843,0105,1484215.6284909423,6901294.6738342727
10313,10313,1107,1003,1514247.9139627493,6898037.5919990288
12604,12604,1071,1206,1477472.7465928737,6916225.8210933898
09301,9301,1727,0903,1508905.9214045682,6880950.2419466954
11506,11506,1907,1105,1503636.5723966383,6892350.5394133860
08213,8213,923,0802,1493664.6642759710,6885989.3016134044
10503,10503,1183,1005,1514983.7427416262,6888053.2684502220
04619,4619,1115,0406,1482937.5646205244,6888981.8135073828
01311,1311,863,0103,1484123.9190711998,6895185.2509684628
03807,3807,1697,0308,1494317.0572482061,6896796.2370689753
12402,12402,1176,1204,1482985.4870310477,6911015.3158901613
02408,2408,2030,0204,1496911.2464772970,6894662.7402724801
11215,11215,1360,1102,1501724.7850527768,6900198.0387112750
01423,1423,833,0104,1486273.1019053790,6897805.2989512440
10301,10301,1979,1003,1511470.3428929639,6898188.1024034945
09217,9217,1998,0902,1504974.7665471272,6884259.6722199330
12519,12519,865,1205,1486916.6361653081,6909170.2816604152
06705,6705,1514,0607,1468119.9089555878,6880602.4049130566
08201,8201,1494,0802,1493280.3226977347,6888039.0288433675
11416,11416,1858,1104,1502362.0468808175,6893597.6710699638
07312,7312,1803,0703,1485245.4903165768,6885509.2710103635
10416,10416,1665,1004,1510961.1914395017,6894778.5769508192
06403,6403,1726,0604,1482917.2835759539,6878012.9639066439
09404,9404,1618,0904,1511588.7408025591,6872726.1931432402
05322,5322,717,0503,1469805.3244711601,6894706.7583802147
08315,8315,1113,0803,1495265.4772757874,6883541.7802883973
04507,4507,1003,0405,1479723.0045142607,6890838.6933520883
07505,7505,1869,0705,1489514.8299053668,6883708.3881117133
03607,3607,1620,0306,1492238.4907513401,6899956.1054429421
05431,5431,1077,0504,1461646.3096135405,6898786.2113749003
01317,1317,1063,0103,1485933.6883464297,6894361.0680150576
04625,4625,1419,0406,1483614.3974167434,6887200.9816152956
03813,3813,1541,0308,1493282.1243873895,6896511.0938459411
12408,12408,1215,1204,1482814.5085115980,6909480.7773824995
02414,2414,1467,0204,1495554.2126644836,6893127.3050929355
11221,11221,1044,1102,1503105.7311222728,6898744.9101490332
01429,1429,1176,0104,1486408.5101798933,6898576.5739622470
05516,5516,1202,0505,1460493.6679174262,6881731.6310688052
02315,2315,1724,0203,1495844.2469337443,6891424.3731209310
04717,4717,1478,0407,1482577.1908608936,6885450.4170699138
01404,1404,746,0104,1483900.8654572878,6896888.5243173661
03912,3912,1861,0309,1496775.9187348085,6897035.5819529295
12426,12426,734,1204,1482710.3208639857,6905672.4588291468
02509,2509,1749,0205,1499525.7335055587,6893828.2528731180
11318,11318,1235,1103,1501898.0597550212,6896602.1166913463
01513,1513,1379,0105,1486388.0233779370,6900856.3667782135
12616,12616,1442,1206,1482788.1178905084,6913874.3592895037
09313,9313,1889,0903,1508255.2121168640,6873655.5479704998
11518,11518,1085,1105,1500660.3317491002,6891416.7629883541
08225,8225,1444,0802,1494521.1105558851,6885355.0485169860
10515,10515,1320,1005,1511838.1828827779,6891122.2104079062
07411,7411,1651,0704,1488972.2028600096,6885615.3888722947
09501,9501,1489,0905,1511333.5357476473,6880952.6363647254
06501,6501,1679,0605,1484930.6965653449,6880541.4674671087
08416,8416,1573,0804,1493888.1576064846,6875675.7721926430
05412,5412,935,0504,1464112.1850764912,6896849.2087917961
07603,7603,2122,0706,1491072.8463346325,6881124.1181637514
04606,4606,1300,0406,1484256.1623412089,6890169.8351550186
06616,6616,1679,0606,1477977.1607289272,6879122.4890559586
03711,3711,1527,0307,1495179.9580127569,6899857.7577210283
05522,5522,1047,0505,1463461.4314219998,6881796.6704779696
04723,4723,1248,0407,1480583.3211091077,6886788.3424228113
01410,1410,1206,0104,1484579.2432197121,6896209.0614158064
03918,3918,1765,0309,1495616.2202619787,6896645.7808788922
12506,12506,700,1205,1486984.4676293896,6910478.9080593456
02515,2515,2073,0205,1499267.2843060705,6893335.6356937503
09416,9416,736,0904,1520259.1535835683,6867533.2092881892
06415,6415,1665,0604,1482406.7413966369,6874131.3286452340
08404,8404,1259,0804,1496456.1447664595,6879730.9265871327
05334,5334,1157,0503,1476816.9419537559,6899225.8775095614
04519,4519,1313,0405,1480103.8651503646,6888623.5279082796
03619,3619,1507,0306,1494221.1511292111,6898832.6732668094
06604,6604,1816,0606,1473655.4768190663,6883237.7716468051
02309,2309,1592,0203,1493356.2251963038,6891043.7609203979
05510,5510,1001,0505,1462122.3426639284,6882689.7343812287
01329,1329,935,0103,1487828.5994867892,6896720.8550581234
04711,4711,1448,0407,1480802.6124261604,6886051.7712650150
03906,3906,1940,0309,1496493.2087316811,6898895.1836762484
12420,12420,815,1204,1480013.6640672556,6906583.1662333626
02503,2503,1996,0205,1498089.6525570385,6894592.7961470112
11312,11312,1927,1103,1503827.2275810798,6897822.6882353667
01507,1507,578,0105,1485374.7971568576,6902088.4274993688
10319,10319,1802,1003,1517065.7074086315,6898508.4890564373
12610,12610,1024,1206,1480593.9208448804,6915556.0822673058
09307,9307,1687,0903,1509033.4774730217,6878454.3269419884
11512,11512,2379,1105,1501912.1058734246,6891928.7280829241
08219,8219,1260,0802,1495821.3561302056,6886372.9115847731
10509,10509,1200,1005,1513548.1678926561,6887350.1751384018
07405,7405,1989,0704,1489304.6937910330,6888134.4340233374
09422,9422,1492,0904,1511847.0000544819,6881941.2965912223
08410,8410,1426,0804,1494035.0656669971,6877514.3106613643
05406,5406,1115,0504,1463404.6393892788,6897238.2736969488
04525,4525,1199,0405,1478547.2331270787,6886269.1702525700
06610,6610,1185,0606,1479976.5726974425,6883029.9209930776
03705,3705,1998,0307,1497498.2692552761,6900214.0515978709
06303,6303,1869,0603,1482020.8357382622,6880555.4222207060
12608,12608,826,1206,1477668.1373359123,6915026.9433250558
04712,4712,1479,0407,1482465.3534900735,6886094.8500416679
11111,11111,1672,1101,1503083.9669617135,6903844.1573639708
04405,4405,1120,0404,1480804.7381349269,6893307.1979131494
10507,10507,1095,1005,1513692.0277313332,6890479.9527759580
02504,2504,1893,0205,1498075.5350108170,6894136.8383023869
08408,8408,1357,0804,1495158.9563164166,6877052.0875588441
07214,7214,1981,0702,1486687.1790377954,6887756.7177198641
06608,6608,1510,0606,1477522.1739319602,6882392.4192809099
11513,11513,2162,1105,1502434.5618689242,6891625.0292381188
11114,11114,1973,1101,1504870.8286217188,6903191.8627514048
05233,5233,866,0502,1468191.9575297739,6895765.7272915570
04715,4715,1473,0407,1481010.8859786291,6885505.0370882517
03415,3415,1922,0304,1497379.8277165382,6909430.2299757749
02507,2507,1757,0205,1499217.8262912924,6894421.8422139268
01225,1225,856,0102,1494129.1806642585,6894429.7321419828
12308,12308,1333,1203,1473879.5433594980,6911067.6431430392
05517,5517,1078,0505,1468108.2979790261,6893963.9224885916
11516,11516,1575,1105,1505140.3598023679,6891373.8596481122
05301,5301,775,0503,1470140.3352813364,6897228.1713208007
10209,10209,1641,1002,1509346.2279935631,6899377.8037426788
03913,3913,2073,0309,1496201.7428867030,6897849.1547850575
03503,3503,1655,0305,1492821.2723743338,6901901.7391863251
