uwbid,uwbidnum,Wahlberech,kreisid,xcentroid,ycentroid
03620,3620,1727,0306,1494453.1534707819,6899051.8352857884
03204,3204,1845,0302,1494297.6148500778,6910490.7217068803
02310,2310,1891,0203,1493652.0409592176,6891666.5760802412
01617,1617,832,0106,1488683.3681413804,6900681.0763805583
01330,1330,1159,0103,1487804.2352084031,6895522.7775717704
01111,1111,1457,0101,1491618.2540505214,6897853.0152952885
12421,12421,1263,1204,1480978.2065160035,6907149.7678322783
12112,12112,1253,1201,1485466.8746629099,6904201.8477571364
11313,11313,815,1103,1504659.2179400143,6898132.2642561123
10320,10320,2013,1003,1516283.7271035684,6897833.2154498370
09613,9613,2044,0906,1511136.1896655282,6885730.0467451578
09308,9308,1528,0903,1506052.5040853838,6876742.6105309241
08603,8603,845,0806,1500252.1159938485,6876782.3003269443
08220,8220,1465,0802,1495304.6537394675,6885818.6517910389
07715,7715,1985,0707,1493146.8780862798,6873297.1418337682
07406,7406,2008,0704,1489130.6679136681,6887584.0154108424
05407,5407,1007,0504,1465073.8413725637,6896118.5745539088
05128,5128,857,0501,1464350.1801731172,6902522.0539840078
04601,4601,1045,0406,1482899.0491605804,6890597.1776518999
04216,4216,1054,0402,1476417.7005398336,6893475.9456624147
03706,3706,2084,0307,1496078.2111594018,6899957.3371318588
03210,3210,1845,0302,1489175.1508182480,6905446.7969299359
01623,1623,920,0106,1491719.4804443941,6898723.4989230270
01405,1405,745,0104,1483868.8100148051,6896397.5572248790
01117,1117,966,0101,1492152.8389866017,6896728.1544052148
12501,12501,860,1205,1485107.7654445104,6912884.3291881150
06715,6715,1479,0607,1473175.1840351750,6878045.0596763296
06410,6410,1651,0604,1481889.9310077790,6876928.9649305167
06110,6110,1860,0601,1482965.6058643360,6883394.2553053675
05329,5329,1021,0503,1477939.6627911841,6897237.3398874970
05116,5116,859,0501,1468914.5050517542,6900255.2257877411
04514,4514,1175,0405,1481738.0093711880,6890246.1285884939
04204,4204,1559,0402,1471965.3361827622,6892648.5377999563
03614,3614,1742,0306,1493885.2089942577,6899419.0020389725
03116,3116,2018,0301,1495337.7706312651,6909946.6645112270
02304,2304,1735,0203,1491411.4420658897,6890404.8460624348
01611,1611,798,0106,1489530.2392501198,6901671.3430167884
01324,1324,1096,0103,1487403.0282543967,6891474.4938738374
01105,1105,1143,0101,1490390.4648821992,6896238.5228289124
12415,12415,1362,1204,1479385.8934358351,6906808.3173574088
12106,12106,1150,1201,1487555.5338859246,6903955.1754475525
11307,11307,1938,1103,1502038.2240314092,6897990.0858990708
10618,10618,1507,1006,1516035.5761401767,6896388.7724154470
10314,10314,1143,1003,1514705.3146653215,6898173.9288275819
09607,9607,1380,0906,1518114.4906231153,6884666.8412943026
